userName,komentar
Bohay Geboy,"Aplikasi Bodong, gak bisa baca peta MAP .. Masa alamat jelas Maxim gak bisa baca titik lokasi tujuan, bubar aja bubar.."
Sisilia,"so disappointed. drivernya mostly pada ga punya attitude, tidak berkualitas, tidak sopan kepada customer. educate your employees pls."
Sri Wahyuni,sangt bgus pelayanan ramah bgt trimksih 🙏
Putri Helena Lahagu,good Job
Lia Alson,Maxim lah teman kemana pun kalo mo pigi pigii😂
iim imron,Perbaiki lah apk nya biar satset apk Maxim masih jadul.
Salman Al farisi,"Aplikasi sampahh, verivikasi aja ga bisaa pake nomor hp paraah mending grabb"
R Z F OFFICIAL,"Ga worth it bgt lebih baik aplikasi hijau, maxim ojolnya ga bisa diberi rating karena pernah dapat penalaman buruk!!!! Murah tapi murahan🖕👎 Map nya gajelas Tobat dah make maxim👎👎👎👎"
Sri Widya,"Lumayan tarif lebih murah drpd aplikasi sejenis , tp maps nya kurang kadang susah di cari, satu lagi pembayarn harus tunai tidak bisa dengan non tunai jd agak merepotkan , saran aja tolong bisa bayar non tunai"
Bocel Gaming,Cepatkan oi
Deni Satria,"Kupon 100rb sampah! Palsu! Gk bisa di pakai! Janji nya mana? Kupon jadi saldo asli,huh,dasar promosi omong kosong,hanya kepentingan perusahaan yang di inginkan,tidak mau memikirkan yang lain!"
Hagi Farma,driver nya ramah
Handy Valen,Tetap Semangat
Aminah Fajri,good
Hairun Nisa,"Bagus sii harga murah. Tapi tolong di-update fiturnya supaya lebih lengkap. Seperti mengirim gambar, teks diperpanjang, fitur telpon, dll."
yudyud -yudi tv,Bagus bgtt apkknya tapi mapsnya masing kurang jelas itu aja overall iss good👍
Kevin RafAzqa,"Driver nya sering minta tambahan ongkos, suka nyuruh cancel, dengan alasan tarifnya murah...banyak driver kasar"
Tamsil spd,baik
Fera Wati,"ramah,cepet"
Erah Muhasaroh,"Pembayaran non tunai alasannya belum masuk saja sudah 2 kali saya seperti ini, jadi saya bayar Doble, non tunai ""iya"" tunai juga ""iya"""
Fitri Rusmini,asik pokoknya
TORSI MANIA,Sebagai driver mobil.sy was was terjadi perampokan.tolong tingkatkan keamanan driver dr perampokan.sudah banyak kejadian driver yg tewas di rampok cs.
Mulyati Yati,baik
"Asori ,",Tarif rendah
Muhammad Nizar Al Fikri,Bingung gua
Agustav Setiawan,Aplikasi Maxim jelek sekarang lemot titik alamat ga pernah ketemu perbaiki lagi kalau mau laku Jangan mengecewakan
Bayu Wicaksono,sip lah
Keket Wilson,Aku cantik
REMA,"Sudah 3 hari ini ga bisa pesan maxim gara gara kode otpnya tidak terkirim dari kemaren, langsung pindah ke apk lain kalo gini"
Adel noto,good job
Kang Darman,Terima kasih sdh mengantar dengan nyaman...
Agung Handani,Bagus
